size_mb,ram_write_time_s,ram_read_time_s,disk_write_time_s,disk_read_time_s,ram_write_throughput_mb_s,ram_read_throughput_mb_s,disk_write_throughput_mb_s,disk_read_throughput_mb_s
10,0.0012000333323764305,0.0005860333330929279,0.0033562999960849993,0.008041900000534952,8333.101864926504,17063.87578198438,2979.4714452416747,1243.487235520809
50,0.005366133331942062,0.005086266670938737,0.02973353333315269,0.019604366665589623,9317.696170979125,9830.392945317562,1681.6030385548002,2550.4521953143235
100,0.010431199999099286,0.009829299999789024,0.05964986666367622,0.035472999998698164,9586.624741988919,10173.664452417404,1676.4496820056597,2819.0454713069075
200,0.024996866666090984,0.020279399999708403,0.12396536667074542,0.0666412999999011,8001.002792534239,9862.224720794293,1613.3538372149064,3001.1419345105337
500,0.05522849999882359,0.0545423666650701,0.46363866666555015,0.1673432999984167,9053.296758207274,9167.185631499355,1078.4260156642185,2987.869846027482
1000,0.10815173333442847,0.10942796666495269,1.0418172333350715,0.30645066666572046,9246.268822227605,9138.43170513994,959.861257812749,3263.167970493633
2000,0.23463819999839566,0.23120980000142785,2.1656350666695894,0.711936766662499,8523.76126314332,8650.15237238062,923.5166306554546,2809.238254930751
5000,0.9351084666656485,0.4704464666671508,5.227124766667354,3.451749266666108,5346.973295866615,10628.201834360016,956.5488147297158,1448.5409030967303
