n_rows,transformacion,ingesta_s,transformacion_s,almacenamiento_s
100000,simple,0.02244513333425857,0.009110399999675186,0.18113126666867174
100000,compleja,0.0015255666682302642,0.002812233336347466,0.32550373333166743
500000,simple,0.0063582999985859106,0.0009619666646661548,0.8280506000010064
500000,compleja,0.006284099998689878,0.004721433334149576,1.5875081000000744
1000000,simple,0.01260266666940879,0.0012722666676078613,1.634310233333963
1000000,compleja,0.012552699998195749,0.008401433333347086,3.172784766664942
5000000,simple,0.0598081666660922,0.004706433331496858,8.193602400002419
5000000,compleja,0.05962676666725505,0.04351989999850048,16.037924633334722
