modo,batch_size,latencia_promedio_s,throughput_filas_s,tiempo_total_s
streaming,1,0.00038412050799697077,2534.0293927252433,39.47968439999871
batch,100,0.0003864001666346061,251803.02969023594,0.3971581333365369
batch,500,0.00039657866678074544,1226769.0874879959,0.08151976666704286
batch,1000,0.00039305166693035675,2476007.2307765535,0.04039080000075046
batch,5000,0.00042949666640197394,11375260.42156171,0.00881193333528548
batch,10000,0.0004377599992343069,22335144.940247852,0.004482933334656991
batch,15000,0.0004793952376487487,29158148.653699663,0.003448700003597575
batch,20000,0.0005232333341458192,37717913.78088974,0.0026746999986547357
