carga,ejecutor,n_workers,tamano_lote,repeticion,tiempo,cpu_pct
io,secuencial,1,5000,2,0.30503795800177613,22.8
io,secuencial,1,5000,3,0.3148965840009623,32.5
io,threads,2,5000,1,0.2993237080008839,26.0
io,threads,2,5000,2,0.296061875000305,26.0
io,threads,2,5000,3,0.29874279100476997,0.0
io,threads,4,5000,1,0.3037968339995132,0.0
io,threads,4,5000,2,0.30054174999531824,26.6
io,threads,4,5000,3,0.31828991699876497,25.6
io,threads,8,5000,1,0.29956345800019335,0.0
io,threads,8,5000,2,0.29681587500090245,0.0
io,threads,8,5000,3,0.3016916670021601,27.0
io,processes,2,5000,1,0.3298538750022999,25.2
io,processes,2,5000,2,0.3342467500042403,27.2
io,processes,2,5000,3,0.3351096249971306,26.4
io,processes,4,5000,1,0.33129354199627414,26.1
io,processes,4,5000,2,0.32960433299740544,25.2
io,processes,4,5000,3,0.33461370800068835,30.3
io,processes,8,5000,1,0.3236352500025532,35.4
io,processes,8,5000,2,0.32568054100556765,36.6
io,processes,8,5000,3,0.32878841700585326,37.9
