tamano,version,tiempo_promedio,tiempo_std,cpu_promedio
10000,paralela,0.05541518033472433,0.003681455272098406,0.0
10000,secuencial,0.007065499667078257,0.00113852055248028,12.5
10000,vectorizada,0.00015388866449939087,8.914431857111064e-05,0.0
100000,paralela,0.05699580600048648,0.0019765048486054806,0.0
100000,secuencial,0.06629795866804973,0.0003129415964591143,0.0
100000,vectorizada,0.0008787359984125942,0.0001617480376692835,0.0
1000000,paralela,0.08255097200162709,0.006282053776919177,13.933333333333332
1000000,secuencial,0.6693215276633661,0.006302280999237047,23.166666666666668
1000000,vectorizada,0.008279611332303224,0.0001928059350885312,20.566666666666666
10000000,paralela,0.2735188053314535,0.004817675570685367,10.166666666666666
10000000,secuencial,6.618413972001387,0.03833733971727735,16.599999999999998
10000000,vectorizada,0.08462698633472125,0.00658329542626904,13.9
50000000,paralela,3.4135426253342303,0.3341526130086579,37.43333333333333
50000000,secuencial,32.64129711133379,0.17076195576019138,14.9
50000000,vectorizada,0.4408168053317543,0.051360614304030855,17.166666666666668
