carga,ejecutor,n_workers,tamano_lote,tiempo_promedio,tiempo_std,cpu_promedio
cpu,processes,2,200,0.8081591529989964,0.013913419574297729,23.900000000000002
cpu,processes,2,1000,0.7987903610022234,0.003675581244659755,23.633333333333336
cpu,processes,2,5000,0.7974040556655382,0.002091045691537245,23.099999999999998
cpu,processes,4,200,0.4510157496673249,0.019110526696622245,48.199999999999996
cpu,processes,4,1000,0.4596317223307172,0.007793450837801637,30.133333333333336
cpu,processes,4,5000,0.47867818033652537,0.012829359940518365,29.933333333333337
cpu,processes,8,200,0.425366833335526,0.017203908789207908,48.79999999999999
cpu,processes,8,1000,0.37204901366931153,0.016639152707771318,72.3
cpu,processes,8,5000,0.3750319023359528,0.0019717615932348317,79.63333333333333
cpu,secuencial,1,200,1.3335971109991078,0.011785739029762609,12.433333333333332
cpu,secuencial,1,1000,1.3538518610002939,0.010750675505754727,17.266666666666666
cpu,secuencial,1,5000,1.35650093099927,0.007376565484294653,12.233333333333334
cpu,threads,2,200,1.3683398473343307,0.01656316683130206,17.900000000000002
cpu,threads,2,1000,1.3569581806683952,0.00473210733627702,14.200000000000001
cpu,threads,2,5000,1.3512882083329412,0.0030633258890865353,11.966666666666667
cpu,threads,4,200,1.367521263998545,0.01622310952829719,12.033333333333333
cpu,threads,4,1000,1.3507352079977863,0.0017454370657967332,11.9
cpu,threads,4,5000,1.3508410696643598,0.0019383508938544277,12.066666666666668
cpu,threads,8,200,1.3720183476689272,0.014981390650888658,11.666666666666666
cpu,threads,8,1000,1.3610680970014073,0.016229397792661398,22.166666666666668
cpu,threads,8,5000,1.3559089030022733,0.011974417868266515,12.233333333333334
io,processes,2,200,0.2158823196684049,0.0003946859864180704,30.099999999999998
io,processes,2,1000,0.2496837363311594,0.0005846668543482042,10.700000000000001
io,processes,2,5000,0.33307008333455695,0.0028185342539516008,26.266666666666666
io,processes,4,200,0.17922583300241968,0.0018667757740205345,40.53333333333333
io,processes,4,1000,0.18558433300010316,0.0001184140774456483,34.333333333333336
io,processes,4,5000,0.331837194331456,0.002548554075753625,27.2
io,processes,8,200,0.23909494466352044,0.016410081983652867,24.7
io,processes,8,1000,0.18889070866862312,0.003788711370002235,17.099999999999998
io,processes,8,5000,0.32603473600465804,0.0025947780471575147,36.63333333333333
io,secuencial,1,200,0.2957227916631382,0.0021481593605193914,28.2
io,secuencial,1,1000,0.2956201806664467,0.0025242041810837283,0.0
io,secuencial,1,5000,0.3100773473342997,0.004932998788279978,26.066666666666666
io,threads,2,200,0.19416762466911072,0.0005882643480890667,12.633333333333333
io,threads,2,1000,0.22603409699756108,0.0010992854775660347,31.833333333333332
io,threads,2,5000,0.29804279133531963,0.0017399391609591842,17.333333333333332
io,threads,4,200,0.16304313900279035,0.0010746144144233127,0.0
io,threads,4,1000,0.17531852766599818,0.0017180549366853475,17.633333333333333
io,threads,4,5000,0.3075428336645321,0.009448478349094127,17.400000000000002
io,threads,8,200,0.2236129863304086,0.0018214737770945071,66.33333333333333
io,threads,8,1000,0.17435397199975947,0.0007351341663447218,51.73333333333333
io,threads,8,5000,0.2993570000010853,0.0024444438199575846,9.0
