tamano,version,repeticion,tiempo,cpu_pct
10000,secuencial,1,0.008379790997423697,37.5
10000,secuencial,2,0.006381750004948117,0.0
10000,secuencial,3,0.006434957998862956,0.0
10000,vectorizada,1,0.00025549999554641545,0.0
10000,vectorizada,2,0.0001173330019810237,0.0
10000,vectorizada,3,8.883299597073346e-05,0.0
10000,paralela,1,0.059619958003167994,0.0
10000,paralela,2,0.05385408300207928,0.0
10000,paralela,3,0.05277149999892572,0.0
100000,secuencial,1,0.06665929200244136,0.0
100000,secuencial,2,0.06612062500062166,0.0
100000,secuencial,3,0.06611395900108619,0.0
100000,vectorizada,1,0.001065500000549946,0.0
100000,vectorizada,2,0.0007839999962016009,0.0
100000,vectorizada,3,0.0007867079984862357,0.0
100000,paralela,1,0.058217124998918734,0.0
100000,paralela,2,0.058054834000358824,0.0
100000,paralela,3,0.05471545900218189,0.0
1000000,secuencial,1,0.6688054999976885,23.9
1000000,secuencial,2,0.663293124998745,22.8
1000000,secuencial,3,0.6758659579936648,22.8
1000000,vectorizada,1,0.008452750000287779,20.0
1000000,vectorizada,2,0.008071833995927591,25.0
1000000,vectorizada,3,0.008314250000694301,16.7
1000000,paralela,1,0.07595725000282982,41.8
1000000,paralela,2,0.08846629100298742,0.0
1000000,paralela,3,0.08322937499906402,0.0
10000000,secuencial,1,6.60858429200016,17.9
10000000,secuencial,2,6.660709083000256,17.7
10000000,secuencial,3,6.585948541003745,14.2
10000000,vectorizada,1,0.09222870899975533,12.1
10000000,vectorizada,2,0.08081437500368338,17.3
10000000,vectorizada,3,0.08083787500072503,12.3
10000000,paralela,1,0.2786443329969188,0.0
10000000,paralela,2,0.26908341699891025,0.0
10000000,paralela,3,0.2728286659985315,30.5
50000000,secuencial,1,32.44921020800393,15.0
50000000,secuencial,2,32.69878395900014,13.9
50000000,secuencial,3,32.77589716699731,15.8
50000000,vectorizada,1,0.5000979579999694,17.2
50000000,vectorizada,2,0.40968579099717317,19.8
50000000,vectorizada,3,0.4126666669981205,14.5
50000000,paralela,1,3.1005013750036596,35.4
50000000,paralela,2,3.3747126669986756,35.4
50000000,paralela,3,3.7654138340003556,41.5
